recipient	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Australia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13625565.0	93456000.625	1299725.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193553716.0	39631155.5	107077721.0	68751890.6	0.0	0.0	66588490.0	0.0	0.0	0.0	696882923.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Austria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78816100.5	0.0	58590672.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132570772.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171686160.0	249428720.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Belgium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147868500.0	36477733.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brazil	32096371.4	5737388.25	1161878.0	447192.0	0.0	0.0	0.0	16169516.111111112	31732239.3	40602681.5	13483187.2	44915168.11111111	50035218.428571425	35662723.25	71173345.28571428	41203969.0	27212008.888888888	32252377.92857143	51155746.0	23678762.375	46690857.125	240255655.0	43809189.583333336	63681139.461538464	24504523.05	34943935.75	37574906.7	21763406.22857143	14776408.9	934647.1777777778	937350.4642857143	2170964.862745098	958630.2615384615	659632.2835820896	240279.1	401873.29591836734	518958.1028037383	188404.11515151514	250476.37121212122	260549.55555555556	1060570.4468085107
Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88612482.66666667	362915112.71428573	56724935.666666664	0.0	153022875.0	0.0	0.0	0.0	0.0	1961661.0	0.0	0.0	0.0	83925439.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	587432031.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chile	5090918.0	63818583.333333336	81753660.66666667	21273550.4	180167.0	0.0	23210167.0	11774935.0	2984515.8571428573	4746172.0	19344856.0	39178741.85714286	46713228.15384615	14122616.42857143	3698453.5	7133960.5	27669523.5	66029466.0	37949480.25	41552079.875	15204462.333333334	17598831.0	26056373.555555556	34107930.0	64351138.0	250715011.0	26073008.888888888	9427694.4	11396035.647058824	158346.7857142857	163612.4	208119.53846153847	166237.11764705883	126171.9	106854.16666666667	120871.73913043478	481404.6923076923	600700.7804878049	131342.16666666666	154390.92857142858	235081.35
Colombia	59647410.0	17230647.875	8933063.666666666	6439561.6	0.0	0.0	0.0	18675657.333333332	14407011.142857144	184208701.5	4313870.333333333	8629892.0	99892507.25	811922.5	8725741.0	14701759.0	13089762.75	50182396.125	52314270.0	43187388.44444445	72987165.625	36230150.166666664	51055409.0	125882234.0	64351.0	51994998.833333336	36117626.615384616	98449364.66666667	8478621.368421054	13693042.125	23962296.727272727	22602979.88235294	14899349.607142856	22300334.596774194	4435170.767676768	7225624.487603306	6178893.898550725	4779232.397163121	2670216.52	4270751.768421053	1929535.1393939394
Cyprus	8629358.0	4103415.0	0.0	0.0	0.0	0.0	0.0	20486132.5	15193900.5	15343227.5	14759554.5	14225158.0	13807221.0	12927747.0	13127556.5	16922141.0	16306405.0	7817306.0	7614364.333333333	11108880.0	14491666.0	21288198.5	0.0	12791838.0	5362595.0	60981.0	4351109.333333333	87308.0	6275126.333333333	6469207.0	438483.875	2543727.6666666665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Czech Republic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18100857.25	102612871.0	28637632.5	66893111.571428575	2207486.5	6448434.5	83912945.0	108678832.0	9993889.57142857	10457658.5	130358.83333333333	206200.58823529413	283592.0	79253.66666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Denmark	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34762965.0	0.0	0.0	0.0	62021691.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Estonia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	548936.5	23391219.0	0.0	14317254.0	437287.0	949314.75	788399.3333333334	337302.6666666667	375313.0	564535.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Finland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70538468.0	26553629.0	0.0	83529726.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
France	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116609845.0	60461391.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Greece	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28842995.5	26046686.0	0.0	0.0	0.0	36819257.0	0.0	0.0	18863957.0	0.0	0.0	303412067.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hungary	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31296368.0	0.0	0.0	0.0	0.0	31561667.7	42446352.333333336	12861614.0	40132597.85714286	77234645.66666667	13003354.5	272863443.0	33516217.0	571497.15	228619.57142857142	214777.7	192726.75	85837.1875	67931.76470588235	906145.3333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Iceland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18060045.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
India	129400040.0	124002009.33333333	281350131.0	251864782.0	74168795.0	59211906.75	137460657.25	63656601.692307696	56584435.833333336	31389467.285714287	22916667.82352941	25599185.842105262	13270546.681818182	25117446.70588235	14327614.56	30270326.384615384	21778538.066666666	12080909.684210526	16836867.666666668	36286677.53125	25634758.333333332	61452410.266666666	22115397.52631579	32878058.10526316	26809182.10526316	33224879.3125	20850351.931034483	4799181.3877551025	5916472.514018691	4148324.230769231	1862278.0869565217	2073702.8210526316	1473578.8133333332	1068871.0402298851	695636.4032921811	548820.1433566434	571618.3654618474	312207.83440860215	277246.46603773587	303220.38717948715	443452.2209944751
Ireland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30268231.0	58605044.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23119066.0	6065209.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174812788.0	171345603.0	175063408.0	272240314.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Italy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	298168272.0	3585196.0	0.0	147595542.0	551936148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	277419753.0	524992994.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Japan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132384460.5	148973586.66666666	0.0	0.0	166832089.0	134938249.0	130559708.0	525123264.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	276896345.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Korea	133882466.8	17777770.0	8075353.0	82203426.16666667	24767973.5	23187413.5	15458333.625	98018549.5	32019113.833333332	11803756.6	7726219.0	8153142.222222222	8666728.3	9601758.363636363	5809398.0	7898445.4375	10535102.357142856	1758462.25	8407895.5	1562649.5	1485396.0	267842142.0	0.0	178617774.0	252915656.25	0.0	164538174.85714287	107109017.5	204693358.0	77547882.5	69242.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kuwait	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13531968.0	0.0	0.0	10134221.0	3703419097.0	0.0	5311157.0	278059881.0	0.0	0.0	0.0	0.0	0.0	0.0	14754.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Latvia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32141692.333333332	0.0	0.0	984795.4	0.0	0.0	8029593.5	1389527.0	600935.0	559126.5	186582.25	861012.0	585617.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Liechtenstein	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18264370.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lithuania	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2843871.3	24762357.5	13406487.0	4293850.7272727275	500443.0	365203.0	597859.0	200414.4	697239.25	747415.5714285715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Luxembourg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207859903.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139320026.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New Zealand	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11703716.0	0.0	106942297.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Norway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21862565.5	65468421.5	63586018.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62668301.0	67085688.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Poland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25000150.333333332	0.0	0.0	0.0	0.0	0.0	7204596.0	0.0	5732375.5	32612810.0	8363875.428571428	11769945.4375	71364169.5	13863773.625	51222627.333333336	15897665.954545455	69593582.25	263661358.0	1924323.0	1996239.5333333334	673725.3913043478	595029.6470588235	151301.33333333334	271040.46153846156	249395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Portugal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4136160.0	72382655.0	0.0	0.0	1826510.0	0.0	10931623.5	0.0	2538321.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Qatar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9137956.0	0.0	0.0	0.0	0.0	9564499.0	0.0	0.0	0.0	352189083.5	0.0	0.0	0.0	0.0	0.0	28901.333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Romania	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22190720.5	262077414.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2274453.0	2221776.0	26846149.0	21288908.0	8357217.75	102015864.5	11923490.8	2679223.0	5450514.166666667	3964202.777777778	1410033.1307189541	3486283.0425531915	1002256.0625	962372.8775510204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Saudi Arabia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8425916.538461538	26810829.8	7259168.823529412	12120747.727272727	1692914.25	2284572.285714286	4175171.3333333335	0.0	12686027.333333334	0.0	0.0	7309552.333333333	74239802.0	0.0	0.0	0.0	0.0	0.0	0.0	906274333.0	352145513.0	1401414.0	0.0	73457.0	130007.0	157568.66666666666	430456.0	298799.5	0.0	0.0	0.0	0.0	0.0	0.0
Slovak Republic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3100298.15	0.0	0.0	1007306.5384615385	904437.5	909707.0	442803.2	261109.0	202636.0909090909	406419.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slovenia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	791775.5	0.0	0.0	0.0	3916.0	0.0	162428.0	141396.5	246462.0	325993.6666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
South Africa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11190345.0	26253719.866666667	7372891.451612903	7515402.52	10723366.555555556	6531305.3125	6216781.733333333	7589243.463414635	1858185.6181818182	5278058.445945946	1303808.3125	1770125.5	2585256.9454545453	2398727.077922078	3062659.382022472	3194510.8396946564	6966459.964285715	7298141.692307692	3423772.5914634145	3156100.302439024	2831814.285714286	2618192.895522388
Spain	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23752238.916666668	49864340.25	25742526.666666668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sweden	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17641334.5	12237243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Taiwan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21803132.916666668	30220034.5	51344229.416666664	8910146.0	11023720.0	7098002.5	9635417.5	14965414.0	7296234.75	18756666.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148248872.5	110643308.28571428	27398.35714285714	160642650.0	107576.33333333333	149449.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thailand	14113435.0	510154.0	4436415.0	4397385.666666667	7747186.0	8052988.0	7020039.0	6872548.05882353	14537574.142857144	8004770.117647059	4555937.153846154	9753191.166666666	6098924.647058823	7216190.9375	16097404.5625	3167589.0	6007381.4375	6587628.545454546	34395608.333333336	46098019.0	79300535.0	34660624.615384616	37538084.0	41293061.666666664	39703680.0	123106515.0	1090823.3333333333	55398959.75	8938837.75	14425200.45	1045074.0606060605	686308.3333333334	659630.4264705882	922054.5283018867	958435.734375	698529.4074074074	821206.8823529412	535036.536423841	285539.6036036036	391715.2388888889	688707.8189655172
United Arab Emirates	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	424811.0	522553.0	240843.0	118685.33333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
United Kingdom	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133067517.0	558141413.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
